港台,#genre#
靖天电影台,http://free.xiptv.x10.bz/kudou.php?id=150
靖洋戏剧台,http://free.xiptv.x10.bz/kudou.php?id=53
龙祥时代台,http://free.xiptv.x10.bz/kudou.php?id=85
东森综合台,http://free.xiptv.x10.bz/kudou.php?id=66
东森戏剧台,http://free.xiptv.x10.bz/kudou.php?id=67
东森电影台,http://free.xiptv.x10.bz/kudou.php?id=86
东森洋片台,http://free.xiptv.x10.bz/kudou.php?id=87
龙华戏剧台,http://free.xiptv.x10.bz/kudou.php?id=90
龙华洋片台,http://free.xiptv.x10.bz/kudou.php?id=92
龙华偶像台,http://free.xiptv.x10.bz/kudou.php?id=91
龙华电影台,http://free.xiptv.x10.bz/kudou.php?id=93
纬来电影台,http://free.xiptv.x10.bz/kudou.php?id=89
华纳电影台,http://free.xiptv.x10.bz/kudou.php?id=100
卫视电影台,http://free.xiptv.x10.bz/kudou.php?id=102
亚洲旅游台,http://free.xiptv.x10.bz/kudou.php?id=71
美食星球台,http://free.xiptv.x10.bz/kudou.php?id=69
探索频道台,http://free.xiptv.x10.bz/kudou.php?id=73
动物星球台,http://free.xiptv.x10.bz/kudou.php?id=108
野生地理台,http://free.xiptv.x10.bz/kudou.php?id=109
国家地理台,http://free.xiptv.x10.bz/kudou.php?id=110
cn卡通频道,http://free.xiptv.x10.bz/kudou.php?id=65
AXN电影台,http://free.xiptv.x10.bz/kudou.php?id=99
FGM电影台,http://free.xiptv.x10.bz/kudou.php?id=151
BOB电影台,http://free.xiptv.x10.bz/kudou.php?id=114
EYE-旅游台,http://free.xiptv.x10.bz/kudou.php?id=63
EYE-戏剧台,http://free.xiptv.x10.bz/kudou.php?id=64
ELT-影剧台,http://free.xiptv.x10.bz/kudou.php?id=59
ELT-体育三,http://free.xiptv.x10.bz/kudou.php?id=120
ELT-体育四,http://free.xiptv.x10.bz/kudou.php?id=72
KiX-频道台,http://free.xiptv.x10.bz/kudou.php?id=34
ROCK-综艺,http://free.xiptv.x10.bz/kudou.php?id=32
ROCK-娱乐,http://free.xiptv.x10.bz/kudou.php?id=33
AFN频道台,http://free.xiptv.x10.bz/kudou.php?id=70
BBC纪实台,http://free.xiptv.x10.bz/kudou.php?id=111
Mtv频道台,http://free.xiptv.x10.bz/kudou.php?id=113
DMAX频道,http://free.xiptv.x10.bz/kudou.php?id=74
CiINE-Max,http://free.xiptv.x10.bz/kudou.php?id=98
moviesnow,http://free.xiptv.x10.bz/kudou.php?id=101
